LINK_ID,AVG_DAILY_TOTAL_COUNT,MAX_DAILY_TRAFFIC,PERCENTILE
1095372,25.295081967213115,55,0.01
1095373,29.639344262295083,44,0.01
1095374,139.45901639344262,206,0.03
1095375,136.2377049180328,203,0.03
1095376,19.639344262295083,38,0.00
1095377,30.581967213114755,57,0.01
1095378,181.827868852459,274,0.04
1095379,173.91803278688525,264,0.04
1095380,168.5737704918033,257,0.04
1095381,126.38524590163935,204,0.03
1095382,16.65289256198347,53,0.00
1095383,18.75409836065574,33,0.00
1095384,21.90983606557377,42,0.00
1095385,90.27868852459017,142,0.02
1095386,116.39344262295081,187,0.02
1095387,7.868852459016393,22,0.00
1095388,43.19672131147541,79,0.01
1095389,1.0833333333333333,2,0.00
1095390,1.702127659574468,6,0.00
1095391,2.8677685950413223,7,0.00
1095396,27.07377049180328,52,0.01
1095397,13.942622950819672,34,0.00
1095398,1.92,4,0.00
1095399,14.237704918032787,35,0.00
1095400,13.50413223140496,37,0.00
1095401,6.220338983050848,16,0.00
1095404,6.486486486486487,19,0.00
1095405,4.474226804123711,15,0.00
1095406,6.2368421052631575,23,0.00
1095407,4.860655737704918,19,0.00
1095408,4.333333333333333,14,0.00
1095409,1.0666666666666667,2,0.00
1095410,1.103448275862069,2,0.00
1095411,6.155963302752293,17,0.00
1095413,1.7142857142857142,4,0.00
1095414,1.813953488372093,6,0.00
1095415,1.7678571428571428,6,0.00
1095416,3.860869565217391,9,0.00
1095417,2.3944954128440368,6,0.00
1095418,1.3518518518518519,4,0.00
1095419,2.934065934065934,8,0.00
1095420,3.0625,8,0.00
1095421,34.09836065573771,59,0.01
1095422,17.450819672131146,36,0.00
1095423,21.401639344262296,38,0.00
1095424,9.950819672131148,21,0.00
1095425,25.024590163934427,41,0.01
1095426,18.140495867768596,31,0.00
1095427,15.942622950819672,28,0.00
1095428,10.229508196721312,26,0.00
1095429,2.8333333333333335,7,0.00
1095430,2.073394495412844,5,0.00
1095431,1.5072463768115942,4,0.00
1095432,66.44262295081967,139,0.01
1095433,7.11864406779661,25,0.00
1095434,10.213675213675213,28,0.00
1095437,17.639344262295083,31,0.00
1095438,5.68595041322314,15,0.00
1095439,8.847457627118644,19,0.00
1095440,7.991666666666666,20,0.00
1095441,23.827868852459016,47,0.00
1095442,3.2767857142857144,7,0.00
1095443,4.440366972477064,13,0.00
1095444,4.318181818181818,9,0.00
1095445,27.30327868852459,45,0.01
1095446,28.139344262295083,48,0.01
1095449,9.6,20,0.00
1095450,22.959016393442624,42,0.00
1095451,161.69672131147541,241,0.03
1095452,210.6639344262295,306,0.04
1095453,41.950819672131146,65,0.01
1095454,41.795081967213115,62,0.01
1095456,184.90983606557376,304,0.04
1095457,41.50819672131148,62,0.01
1095458,7.4,19,0.00
1095459,50.40983606557377,84,0.01
1095460,164.45081967213116,266,0.03
1095461,1.7014925373134329,6,0.00
1095462,1.1904761904761905,3,0.00
1095463,29.016393442622952,52,0.01
1095464,21.352459016393443,40,0.00
1095465,60.368852459016395,102,0.01
1095466,35.9344262295082,53,0.01
1095467,1.1666666666666667,2,0.00
1095470,24.37704918032787,39,0.01
1095471,40.31147540983606,119,0.01
1095472,32.09016393442623,66,0.01
1095473,40.59836065573771,69,0.01
1095474,14.418032786885245,28,0.00
1095475,14.625,30,0.00
1095476,3.9217391304347826,8,0.00
1095477,3.3125,8,0.00
1095478,90.65573770491804,140,0.02
1095479,11.967213114754099,24,0.00
1095480,25.295081967213115,46,0.01
1095481,16.75206611570248,33,0.00
1095482,16.262295081967213,34,0.00
1095491,119.93442622950819,175,0.03
1095492,7.483606557377049,19,0.00
1095494,25.885245901639344,67,0.01
1095495,35.60655737704918,61,0.01
1095496,17.758333333333333,44,0.00
1095497,17.48739495798319,38,0.00
1095498,12.436974789915967,26,0.00
1095499,14.161016949152541,29,0.00
1095500,11.272727272727273,23,0.00
1095501,4.93859649122807,11,0.00
1095502,10.85,23,0.00
1095503,3.5,9,0.00
1095504,22.672131147540984,39,0.00
1095505,24.30327868852459,46,0.01
1095506,60.97540983606557,96,0.01
1095507,10.540983606557377,22,0.00
1095508,5.084745762711864,11,0.00
1095509,14.533333333333333,30,0.00
1095510,17.459016393442624,37,0.00
1095511,12.060344827586206,27,0.00
1095512,6.103448275862069,13,0.00
1095513,1.986842105263158,5,0.00
1095514,30.237704918032787,52,0.01
1095515,19.0,32,0.00
1095516,24.12295081967213,40,0.01
1095517,33.795081967213115,75,0.01
1095518,51.49180327868852,146,0.01
1095519,284.4918032786885,413,0.06
1095520,316.8032786885246,470,0.07
1095521,27.852459016393443,49,0.01
1095522,30.25409836065574,57,0.01
1095523,1.2653061224489797,2,0.00
1095524,27.09016393442623,64,0.01
1095525,60.33606557377049,127,0.01
1095526,235.04098360655738,353,0.05
1095527,1.2790697674418605,3,0.00
1095528,202.59016393442624,301,0.04
1095529,31.057377049180328,58,0.01
1095530,1.21875,3,0.00
1095531,187.9344262295082,275,0.04
1095535,2.294736842105263,7,0.00
1095536,3.5225225225225225,8,0.00
1095537,2.101010101010101,6,0.00
1095538,16.598360655737704,31,0.00
1095539,12.756302521008404,23,0.00
1095542,15.950819672131148,37,0.00
1095543,14.90983606557377,34,0.00
1095544,13.959016393442623,31,0.00
1095545,14.385245901639344,34,0.00
1095546,1.2173913043478262,3,0.00
1095547,8.859504132231406,20,0.00
1095548,8.114754098360656,17,0.00
1095549,6.909836065573771,22,0.00
1095550,13.686440677966102,29,0.00
1095551,32.622950819672134,60,0.01
1095552,47.59016393442623,82,0.01
1095553,15.262295081967213,27,0.00
1095554,27.216666666666665,51,0.01
1095557,5.2844827586206895,14,0.00
1095558,4.801801801801802,14,0.00
1095559,4.8558558558558556,15,0.00
1095560,5.387931034482759,14,0.00
1095561,1.1,2,0.00
1095562,1.1,2,0.00
1095563,3.392156862745098,10,0.00
1095564,3.2110091743119265,10,0.00
1095565,41.10655737704918,77,0.01
